ID,Education,Subjects
1,Aviation Management,Airline_Operations Logistics Safety Regulations
2,Behavioral Economics,Economics Psychology Data_Analysis Policy
3,Bioinformatics,Biology Programming Statistics Genomics
4,Climate Science,Meteorology Physics Data_Modeling Environment
5,Computational Linguistics,Linguistics NLP Programming Statistics
6,Design Management,Design Strategy Communication Product_Thinking
7,Energy Engineering,Thermodynamics Electrical_Systems Renewables Materials
8,Food Technology,Chemistry Microbiology Processing Quality_Control
9,Geoinformatics,GIS Remote_Sensing Cartography Data_Analysis
10,Urban Planning,Geography Policy Design Infrastructure
